GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS
22/12/2022	1610612740	126	0.484	0.926	0.382	25	46	1
22/12/2022	1610612762	120	0.488	0.952	0.457	16	40	1
21/12/2022	1610612739	114	0.482	0.786	0.313	22	37	1
21/12/2022	1610612755	113	0.441	0.909	0.297	27	49	1
21/12/2022	1610612737	108	0.429	1	0.378	22	47	0
21/12/2022	1610612738	112	0.386	0.84	0.317	26	62	0
21/12/2022	1610612751	143	0.643	0.875	0.636	42	32	1
21/12/2022	1610612752	106	0.553	0.611	0.423	25	38	0
21/12/2022	1610612745	110	0.466	0.647	0.395	22	49	0
21/12/2022	1610612750	99	0.494	0.7	0.267	23	39	0
21/12/2022	1610612760	101	0.468	0.84	0.333	19	37	1
21/12/2022	1610612758	134	0.505	0.75	0.362	29	46	1
21/12/2022	1610612746	126	0.506	0.913	0.469	29	48	1
20/12/2022	1610612765	111	0.506	0.741	0.36	22	43	0
20/12/2022	1610612748	103	0.469	0.706	0.341	26	35	0
20/12/2022	1610612752	132	0.517	0.781	0.425	27	47	1
20/12/2022	1610612756	110	0.461	0.789	0.406	26	44	0
20/12/2022	1610612743	105	0.449	0.6	0.37	28	48	1
19/12/2022	1610612739	122	0.614	0.808	0.577	24	45	1
19/12/2022	1610612755	104	0.4	0.926	0.357	22	41	1
19/12/2022	1610612737	126	0.511	0.9	0.375	29	41	1
19/12/2022	1610612745	105	0.426	0.645	0.208	23	41	0
19/12/2022	1610612750	116	0.472	0.833	0.387	19	44	1
19/12/2022	1610612740	119	0.424	0.708	0.4	30	44	0
19/12/2022	1610612760	123	0.455	0.865	0.355	20	39	1
19/12/2022	1610612756	130	0.495	0.75	0.513	21	51	1
19/12/2022	1610612758	119	0.474	0.548	0.364	23	42	0
18/12/2022	1610612738	92	0.348	0.857	0.255	22	54	0
18/12/2022	1610612754	106	0.433	0.652	0.342	20	44	0
18/12/2022	1610612765	121	0.477	0.853	0.267	20	41	0
18/12/2022	1610612761	110	0.421	0.773	0.394	21	43	0
18/12/2022	1610612750	150	0.655	0.813	0.535	38	39	1
18/12/2022	1610612743	119	0.457	0.647	0.333	33	55	1
18/12/2022	1610612747	119	0.5	0.727	0.407	29	43	1
17/12/2022	1610612746	102	0.43	0.615	0.414	19	49	1
17/12/2022	1610612759	101	0.429	0.758	0.37	29	38	0
17/12/2022	1610612739	100	0.426	0.591	0.194	23	51	1
17/12/2022	1610612745	95	0.4	0.69	0.103	19	51	0
17/12/2022	1610612749	123	0.533	0.818	0.474	30	54	1
17/12/2022	1610612760	115	0.413	0.645	0.422	29	53	1
17/12/2022	1610612756	118	0.47	0.714	0.366	23	35	1
16/12/2022	1610612766	106	0.398	0.684	0.349	26	43	0
16/12/2022	1610612765	113	0.459	0.806	0.345	22	46	0
16/12/2022	1610612738	109	0.417	0.824	0.239	17	38	0
16/12/2022	1610612739	118	0.5	0.875	0.452	23	34	1
16/12/2022	1610612755	118	0.459	0.806	0.395	23	49	1
16/12/2022	1610612761	116	0.488	0.862	0.375	17	32	0
16/12/2022	1610612741	91	0.468	0.875	0.4	26	39	0
16/12/2022	1610612760	110	0.466	0.81	0.297	29	45	0
16/12/2022	1610612742	130	0.556	0.846	0.419	25	40	1
16/12/2022	1610612747	126	0.527	0.75	0.364	29	45	1
15/12/2022	1610612745	108	0.468	0.647	0.273	22	51	0
15/12/2022	1610612763	142	0.549	0.783	0.375	30	56	1
15/12/2022	1610612762	132	0.457	0.811	0.383	24	44	1
15/12/2022	1610612746	95	0.378	0.714	0.364	21	52	0
14/12/2022	1610612766	134	0.412	0.793	0.333	21	52	0
14/12/2022	1610612754	125	0.506	0.84	0.41	30	34	1
14/12/2022	1610612753	135	0.505	0.833	0.444	28	46	1
14/12/2022	1610612761	123	0.5	0.852	0.286	25	39	0
14/12/2022	1610612741	120	0.548	0.864	0.321	25	31	0
14/12/2022	1610612760	108	0.5	0.739	0.375	26	44	0
14/12/2022	1610612759	112	0.464	0.579	0.379	23	40	0
14/12/2022	1610612742	90	0.392	0.731	0.342	17	33	0
14/12/2022	1610612743	141	0.651	0.829	0.25	31	45	1
